slug	status	local_http	prod_http	links_diff	assets_diff	text_similarity
troubleshooting/device-connection-issues/sw-shows-multiple-analyzers	pass	200	200	0	0	100.0
troubleshooting/device-connection-issues/the-devices-usb-vid-and-pid-failed	pass	200	200	0	0	100.0
troubleshooting/device-connection-issues/usb-3.0-cable-customer-notice	pass	200	200	0	0	100.0
troubleshooting/device-connection-issues/usb-driver-problem	pass	200	200	0	0	99.9
troubleshooting/diagnostic-tools/all-known-issues	pass	200	200	0	0	100.0
troubleshooting/diagnostic-tools/console-output	pass	200	200	0	0	100.0
troubleshooting/diagnostic-tools/led-blinks-red	pass	200	200	0	0	100.0
troubleshooting/diagnostic-tools/pc-detection-test	pass	200	200	0	0	100.0
troubleshooting/diagnostic-tools/sharing-crash-logs	pass	200	200	0	0	35.8
troubleshooting/diagnostic-tools/sharing-your-machine-id	pass	200	200	0	0	100.0
troubleshooting/installation-and-launch-issues/api-ms-win-crt-runtime-missing	pass	200	200	0	0	100.0
troubleshooting/installation-and-launch-issues/can-logic-run-on-arm	pass	200	200	0	0	100.0
troubleshooting/installation-and-launch-issues/disk1-cab-has-invalid-digital-signature	pass	200	200	0	0	14.9
troubleshooting/installation-and-launch-issues/error-message-0xc0000005	fail	200	200	1	0	100.0
troubleshooting/installation-and-launch-issues/fails-to-launch	pass	200	200	0	0	100.0
troubleshooting/installation-and-launch-issues/is-it-possible-to-run-the-saleae-software-on-a-pc-without-sse2-instructions	pass	200	200	0	0	100.0
troubleshooting/installation-and-launch-issues/tablet-support	pass	200	200	0	0	100.0
troubleshooting/installation-and-launch-issues/will-not-install	pass	200	200	0	0	100.0
troubleshooting/performance-issues/logic2-consuming-disk-space	pass	200	200	0	0	100.0
troubleshooting/performance-issues/mouse-scrolling-issues	pass	200	200	0	0	100.0
troubleshooting/performance-issues/pc-performance-issues	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/analog-waveforms-do-not-appear-on-linux	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/centos-compatibility-issues	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/known-issues-on-os-x	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/linux-permission-requirements-for-logic-software	pass	200	200	0	0	36.9
troubleshooting/platform-specific-issues/linux-shared-memory-crash	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/sw-support-for-original-logic	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/usb-debugging-for-linux-kernels	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/visual-studio-error-failed-to-launch-debug-adapter	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/vs-code-fails-to-launch-python-automation-api-script	pass	200	200	0	0	100.0
troubleshooting/platform-specific-issues/xmonad-on-linux-causes-issues	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/error-loading-marketplace-extensions	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/error-message-failed-to-load-extension	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/error-message-unable-to-detect-webgl	pass	200	200	0	0	21.9
troubleshooting/software-crashes-and-errors/error-out-of-memory-exception	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/failed-to-load-lla	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/is-logic-affected-by-the-log4j-exploit	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/logic-2-error-messages	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/saving-or-loading-anything-crashes-the-sw	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/software-has-crashed	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/sw-crashes-with-virtual-desktops	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/sw-issues-with-encryption	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/trouble-downloading-the-latest-software	pass	200	200	0	0	100.0
troubleshooting/software-crashes-and-errors/unsupported-version	pass	200	200	0	0	100.0
tutorials-learning/concepts/common-acronyms-and-definitions	pass	200	200	0	0	100.0
tutorials-learning/concepts/saleae-open-source-support	pass	200	200	0	0	100.0
tutorials-learning/concepts/what-is-a-display-radix	pass	200	200	0	0	100.0
tutorials-learning/concepts/what-is-a-glitch	pass	200	200	0	0	100.0
tutorials-learning/concepts/what-is-data-bandwidth-can-i-reduce-this-in-logic	pass	200	200	0	0	100.0
tutorials-learning/concepts/what-is-ram	pass	200	200	0	0	100.0
